s | x | z | theta
0 0.01 0 2
0.01 0.0199909 0.000523492 2.00105
0.02 0.0299848 0.000872761 0.83723
0.03 0.0399862 0.00091735 1.63641
0.04 0.0499806 0.00127264 1.43119
0.05 0.059978 0.0015045 1.58658
0.06 0.0699738 0.00179494 1.60791
0.07 0.0799698 0.00207739 1.65328
0.08 0.0899655 0.00236986 1.68405
0.09 0.0999611 0.00266642 1.71134
0.1 0.109957 0.00296744 1.73434
0.11 0.119952 0.0032721 1.75423
0.12 0.129947 0.00357996 1.77158
0.13 0.139942 0.00389063 1.78687
0.14 0.149937 0.00420378 1.80044
0.15 0.159933 0.00451914 1.81259
0.16 0.169927 0.00483651 1.82353
0.17 0.179922 0.00515567 1.83345
0.18 0.189917 0.00547648 1.84249
0.19 0.199912 0.00579879 1.85077
0.2 0.209907 0.00612247 1.85838
0.21 0.219902 0.00644743 1.86542
0.22 0.229896 0.00677357 1.87195
0.23 0.239891 0.00710079 1.87803
0.24 0.249885 0.00742904 1.88371
0.25 0.25988 0.00775825 1.88903
0.26 0.269875 0.00808835 1.89403
0.27 0.279869 0.0084193 1.89874
0.28 0.289864 0.00875104 1.9032
0.29 0.299858 0.00908354 1.90741
0.3 0.309853 0.00941675 1.91141
0.31 0.319847 0.00975064 1.91522
0.32 0.329841 0.0100852 1.91885
0.33 0.339836 0.0104203 1.92231
0.34 0.34983 0.0107561 1.92562
0.35 0.359824 0.0110924 1.9288
0.36 0.369819 0.0114292 1.93185
0.37 0.379813 0.0117666 1.93478
0.38 0.389807 0.0121045 1.9376
0.39 0.399802 0.0124428 1.94032
0.4 0.409796 0.0127817 1.94294
0.41 0.41979 0.0131209 1.94548
0.42 0.429784 0.0134606 1.94793
0.43 0.439779 0.0138008 1.95031
0.44 0.449773 0.0141413 1.95262
0.45 0.459767 0.0144822 1.95486
0.46 0.469761 0.0148235 1.95703
0.47 0.479755 0.0151652 1.95915
0.48 0.489749 0.0155073 1.96121
0.49 0.499744 0.0158497 1.96322
0.5 0.509738 0.0161925 1.96518
0.51 0.519732 0.0165355 1.96709
0.52 0.529726 0.016879 1.96896
0.53 0.53972 0.0172227 1.97079
0.54 0.549714 0.0175668 1.97257
0.55 0.559708 0.0179111 1.97432
0.56 0.569702 0.0182558 1.97604
0.57 0.579696 0.0186008 1.97772
0.58 0.58969 0.018946 1.97937
0.59 0.599684 0.0192916 1.98099
0.6 0.609678 0.0196374 1.98258
0.61 0.619672 0.0199835 1.98414
0.62 0.629666 0.0203298 1.98567
0.63 0.63966 0.0206765 1.98718
0.64 0.649654 0.0210234 1.98867
0.65 0.659648 0.0213705 1.99013
0.66 0.669642 0.0217179 1.99158
0.67 0.679636 0.0220656 1.993
